gene_name	chrom	arm	start	end	strand	gene_id
ACVRL1	chr12	q	52300692	52317145	+	ENSG00000139567.8
ACVR1B	chr12	q	52345451	52390862	+	ENSG00000135503.8
GRASP	chr12	q	52400724	52409673	+	ENSG00000161835.6
NR4A1	chr12	q	52416616	52453291	+	ENSG00000123358.15
C12orf44	chr12	q	52463030	52471278	+	ENSG00000123395.10
KRT80	chr12	q	52562780	52585784	-	ENSG00000167767.9
KRT7	chr12	q	52626304	52645970	+	ENSG00000135480.10
KRT86	chr12	q	52643084	52702947	+	ENSG00000170442.7
KRT81	chr12	q	52679697	52685318	-	ENSG00000205426.6
KRT83	chr12	q	52708085	52715182	-	ENSG00000170523.3
AC121757.1	chr12	q	52709128	52709790	+	ENSG00000267873.1
KRT85	chr12	q	52753790	52761265	-	ENSG00000135443.4
KRT84	chr12	q	52771596	52779436	-	ENSG00000161849.3
KRT82	chr12	q	52787715	52800139	-	ENSG00000161850.2
KRT75	chr12	q	52817854	52828309	-	ENSG00000170454.5
KRT6B	chr12	q	52840435	52845910	-	ENSG00000185479.5
KRT6C	chr12	q	52862300	52867569	-	ENSG00000170465.9
KRT6A	chr12	q	52880958	52887041	-	ENSG00000205420.6
KRT5	chr12	q	52908359	52914471	-	ENSG00000186081.7
AC055736.1	chr12	q	52922915	52922980	+	ENSG00000268716.1
KRT71	chr12	q	52937693	52946931	-	ENSG00000139648.6
KRT74	chr12	q	52959566	52967609	-	ENSG00000170484.5
KRT72	chr12	q	52979373	52995322	-	ENSG00000170486.6
KRT73	chr12	q	53001354	53012343	-	ENSG00000186049.4
KRT2	chr12	q	53038342	53045948	-	ENSG00000172867.3
KRT1	chr12	q	53068520	53074191	-	ENSG00000167768.4
KRT77	chr12	q	53083410	53097247	-	ENSG00000189182.5
KRT76	chr12	q	53161939	53171129	-	ENSG00000185069.2
KRT3	chr12	q	53183469	53189901	-	ENSG00000186442.6
KRT4	chr12	q	53200333	53208335	-	ENSG00000170477.8
KRT79	chr12	q	53215194	53228079	-	ENSG00000185640.5
KRT78	chr12	q	53231588	53242876	-	ENSG00000170423.8
KRT8	chr12	q	53290977	53343738	-	ENSG00000170421.7
KRT18	chr12	q	53342655	53346685	+	ENSG00000111057.6
EIF4B	chr12	q	53399942	53435993	+	ENSG00000063046.13
TENC1	chr12	q	53440753	53458156	+	ENSG00000111077.13
SPRYD3	chr12	q	53458388	53473204	-	ENSG00000167778.4
IGFBP6	chr12	q	53491220	53496129	+	ENSG00000167779.3
SOAT2	chr12	q	53497302	53518322	+	ENSG00000167780.7
CSAD	chr12	q	53551447	53575135	-	ENSG00000139631.14
ZNF740	chr12	q	53574484	53584596	+	ENSG00000139651.9
ITGB7	chr12	q	53585102	53601091	-	ENSG00000139626.11
RARG	chr12	q	53604354	53626764	-	ENSG00000172819.12
MFSD5	chr12	q	53645035	53648189	+	ENSG00000182544.8
ESPL1	chr12	q	53662083	53687427	+	ENSG00000135476.7
PFDN5	chr12	q	53689075	53693234	+	ENSG00000123349.9
C12orf10	chr12	q	53693470	53700961	+	ENSG00000139637.9
AAAS	chr12	q	53701240	53718648	-	ENSG00000094914.8
SP7	chr12	q	53720362	53739099	-	ENSG00000170374.4
SP1	chr12	q	53773960	53810230	+	ENSG00000185591.5
AMHR2	chr12	q	53817639	53825318	+	ENSG00000135409.6
PRR13	chr12	q	53835389	53840429	+	ENSG00000205352.6
PCBP2	chr12	q	53835525	53874946	+	ENSG00000197111.11
MAP3K12	chr12	q	53874274	53893847	-	ENSG00000139625.8
TARBP2	chr12	q	53894705	53900215	+	ENSG00000139546.6
RP11-793H13.10	chr12	q	53900472	54019763	-	ENSG00000267281.2
NPFF	chr12	q	53900474	53901422	-	ENSG00000139574.7
ATF7	chr12	q	53901640	54020199	-	ENSG00000170653.14
ATP5G2	chr12	q	54026510	54071192	-	ENSG00000135390.13
CALCOCO1	chr12	q	54104903	54121529	-	ENSG00000012822.11
HOXC13	chr12	q	54332535	54340328	+	ENSG00000123364.3
HOXC12	chr12	q	54348618	54352740	+	ENSG00000123407.3
HOXC11	chr12	q	54366910	54371427	+	ENSG00000123388.4
HOXC10	chr12	q	54378849	54384063	+	ENSG00000180818.4
RP11-834C11.12	chr12	q	54379629	54428672	+	ENSG00000273049.1
HOXC6	chr12	q	54384408	54424607	+	ENSG00000197757.7
HOXC9	chr12	q	54388679	54397121	+	ENSG00000180806.4
HOXC8	chr12	q	54402832	54407570	+	ENSG00000037965.4
HOXC4	chr12	q	54410715	54449813	+	ENSG00000198353.6
HOXC5	chr12	q	54426637	54429142	+	ENSG00000172789.3
HOXC4	chr12	q	54447661	54449814	+	ENSG00000273266.1
SMUG1	chr12	q	54558529	54582778	-	ENSG00000123415.10
CBX5	chr12	q	54624724	54673886	-	ENSG00000094916.9
HNRNPA1	chr12	q	54673977	54680872	+	ENSG00000135486.13
NFE2	chr12	q	54685895	54694905	-	ENSG00000123405.9
COPZ1	chr12	q	54694986	54745633	+	ENSG00000111481.5
GPR84	chr12	q	54756229	54758271	-	ENSG00000139572.3
ZNF385A	chr12	q	54762917	54785082	-	ENSG00000161642.13
ITGA5	chr12	q	54789045	54813244	-	ENSG00000161638.6
GTSF1	chr12	q	54849734	54867386	-	ENSG00000170627.5
NCKAP1L	chr12	q	54891495	54937726	+	ENSG00000123338.8
PDE1B	chr12	q	54943134	54973023	+	ENSG00000123360.7
PPP1R1A	chr12	q	54969171	54982443	-	ENSG00000135447.12
LACRT	chr12	q	55024595	55028679	-	ENSG00000135413.4
DCD	chr12	q	55038375	55042277	-	ENSG00000161634.7
MUCL1	chr12	q	55224303	55252177	+	ENSG00000172551.6
TESPA1	chr12	q	55341802	55378530	-	ENSG00000135426.10
NEUROD4	chr12	q	55413729	55423798	+	ENSG00000123307.3
OR9K2	chr12	q	55523465	55524586	+	ENSG00000170605.5
OR10A7	chr12	q	55614809	55615759	+	ENSG00000179919.3
OR6C74	chr12	q	55640982	55642086	+	ENSG00000197706.3
OR6C6	chr12	q	55688072	55689016	-	ENSG00000188324.3
OR6C1	chr12	q	55714346	55715408	+	ENSG00000205330.2
OR6C3	chr12	q	55725485	55726420	+	ENSG00000205329.1
OR6C75	chr12	q	55758895	55759833	+	ENSG00000187857.3
OR6C65	chr12	q	55794214	55795289	+	ENSG00000205328.2
OR6C76	chr12	q	55820038	55820976	+	ENSG00000185821.3
OR6C2	chr12	q	55845998	55846936	+	ENSG00000179695.1
OR6C70	chr12	q	55862984	55863922	-	ENSG00000184954.4
OR6C68	chr12	q	55886147	55887100	+	ENSG00000205327.2
OR6C4	chr12	q	55944983	55946028	+	ENSG00000179626.3
OR2AP1	chr12	q	55968199	55969128	+	ENSG00000179615.1
OR10P1	chr12	q	56030644	56031638	+	ENSG00000175398.2
METTL7B	chr12	q	56075330	56078395	+	ENSG00000170439.5
ITGA7	chr12	q	56078352	56109827	-	ENSG00000135424.11
RP11-644F5.10	chr12	q	56109820	56118487	+	ENSG00000258311.1
BLOC1S1	chr12	q	56109820	56113871	+	ENSG00000135441.3
RDH5	chr12	q	56114151	56118489	+	ENSG00000135437.5
CD63	chr12	q	56119107	56123491	-	ENSG00000135404.7
GDF11	chr12	q	56137064	56150911	+	ENSG00000135414.5
SARNP	chr12	q	56146247	56211540	-	ENSG00000205323.4
RP11-762I7.5	chr12	q	56151059	56221330	-	ENSG00000257390.1
ORMDL2	chr12	q	56211703	56215663	+	ENSG00000123353.5
DNAJC14	chr12	q	56214744	56224608	-	ENSG00000135392.11
MMP19	chr12	q	56229217	56236750	-	ENSG00000123342.11
WIBG	chr12	q	56295197	56326402	-	ENSG00000170473.12
DGKA	chr12	q	56321103	56347811	+	ENSG00000065357.15
PMEL	chr12	q	56347889	56367101	-	ENSG00000185664.10
CDK2	chr12	q	56360553	56366568	+	ENSG00000123374.6
RAB5B	chr12	q	56367697	56388490	+	ENSG00000111540.11
SUOX	chr12	q	56390964	56400425	+	ENSG00000139531.8
IKZF4	chr12	q	56401443	56432219	+	ENSG00000123411.10
RPS26	chr12	q	56435637	56438116	+	ENSG00000197728.5
ERBB3	chr12	q	56473641	56497289	+	ENSG00000065361.10
RP11-603J24.9	chr12	q	56495115	56503073	+	ENSG00000257411.1
PA2G4	chr12	q	56498103	56507691	+	ENSG00000170515.9
RPL41	chr12	q	56510370	56511727	+	ENSG00000229117.4
ZC3H10	chr12	q	56511943	56516278	+	ENSG00000135482.2
ESYT1	chr12	q	56512034	56538455	+	ENSG00000139641.8
MYL6B	chr12	q	56546040	56553431	+	ENSG00000196465.6
MYL6	chr12	q	56551945	56557280	+	ENSG00000092841.14
SMARCC2	chr12	q	56556767	56583351	-	ENSG00000139613.7
RNF41	chr12	q	56598285	56615717	-	ENSG00000181852.13
NABP2	chr12	q	56615799	56623638	+	ENSG00000139579.8
SLC39A5	chr12	q	56623833	56631630	+	ENSG00000139540.7
ANKRD52	chr12	q	56631591	56652175	-	ENSG00000139645.9
COQ10A	chr12	q	56660642	56664750	+	ENSG00000135469.9
CS	chr12	q	56665483	56694176	-	ENSG00000062485.14
RP11-977G19.10	chr12	q	56679700	56709843	-	ENSG00000144785.4
CNPY2	chr12	q	56703626	56710120	-	ENSG00000257727.1
PAN2	chr12	q	56710007	56727837	-	ENSG00000135473.10
IL23A	chr12	q	56732663	56734193	+	ENSG00000110944.4
STAT2	chr12	q	56735381	56753939	-	ENSG00000170581.9
APOF	chr12	q	56754353	56756607	-	ENSG00000175336.8
TIMELESS	chr12	q	56810903	56843187	-	ENSG00000111602.7
MIP	chr12	q	56843286	56862950	-	ENSG00000135517.6
SPRYD4	chr12	q	56862301	56864763	+	ENSG00000176422.10
GLS2	chr12	q	56864736	56882198	-	ENSG00000135423.8
RBMS2	chr12	q	56915713	56984745	+	ENSG00000076067.7
BAZ2A	chr12	q	56989380	57030600	-	ENSG00000076108.7
ATP5B	chr12	q	57031959	57039798	-	ENSG00000110955.4
PTGES3	chr12	q	57057127	57082159	-	ENSG00000110958.11
NACA	chr12	q	57106212	57125412	-	ENSG00000196531.6
PRIM1	chr12	q	57125380	57146157	-	ENSG00000198056.9
HSD17B6	chr12	q	57145945	57181574	+	ENSG00000025423.7
SDR9C7	chr12	q	57316938	57328189	-	ENSG00000170426.1
RDH16	chr12	q	57345219	57353158	-	ENSG00000139547.6
GPR182	chr12	q	57388230	57390468	+	ENSG00000166856.1
HBCBP	chr12	q	57390745	57391335	+	ENSG00000268162.1
ZBTB39	chr12	q	57392618	57400230	-	ENSG00000166860.2
TAC3	chr12	q	57403784	57422667	-	ENSG00000166863.7
MYO1A	chr12	q	57422301	57444982	-	ENSG00000166866.8
TMEM194A	chr12	q	57449426	57481846	-	ENSG00000166881.5
NAB2	chr12	q	57482677	57489259	+	ENSG00000166886.8
STAT6	chr12	q	57489191	57525922	-	ENSG00000166888.6
LRP1	chr12	q	57522276	57607134	+	ENSG00000123384.9
NXPH4	chr12	q	57610578	57620232	+	ENSG00000182379.9
SHMT2	chr12	q	57623110	57628718	+	ENSG00000182199.6
NDUFA4L2	chr12	q	57628686	57634498	-	ENSG00000185633.6
STAC3	chr12	q	57637236	57644976	-	ENSG00000185482.3
R3HDM2	chr12	q	57643392	57824788	-	ENSG00000179912.15
RP11-123K3.4	chr12	q	57643392	57690267	-	ENSG00000258830.1
AC126614.1	chr12	q	57810198	57810536	+	ENSG00000268367.1
INHBC	chr12	q	57828543	57844611	+	ENSG00000175189.3
INHBE	chr12	q	57846106	57853063	+	ENSG00000139269.2
GLI1	chr12	q	57853918	57866045	+	ENSG00000111087.5
ARHGAP9	chr12	q	57866038	57882597	-	ENSG00000123329.13
MARS	chr12	q	57869228	57911352	+	ENSG00000166986.8
DDIT3	chr12	q	57910371	57914300	-	ENSG00000175197.6
MBD6	chr12	q	57914493	57923931	+	ENSG00000166987.10
DCTN2	chr12	q	57923885	57941114	-	ENSG00000175203.11
KIF5A	chr12	q	57943781	57980415	+	ENSG00000155980.7
PIP4K2C	chr12	q	57984957	57997198	+	ENSG00000166908.13
DTX3	chr12	q	57998405	58003587	+	ENSG00000178498.11
ARHGEF25	chr12	q	58003963	58013162	+	ENSG00000240771.2
SLC26A10	chr12	q	58013310	58019934	+	ENSG00000135502.12
B4GALNT1	chr12	q	58017193	58027138	-	ENSG00000135454.9
OS9	chr12	q	58087738	58115340	+	ENSG00000135506.11
AGAP2	chr12	q	58118980	58135940	-	ENSG00000135439.7
AGAP2-AS1	chr12	q	58120054	58122139	+	ENSG00000255737.2
TSPAN31	chr12	q	58131796	58143994	+	ENSG00000135452.5
CDK4	chr12	q	58141510	58149796	-	ENSG00000135446.12
MARCH9	chr12	q	58148881	58154190	+	ENSG00000139266.5
CYP27B1	chr12	q	58156117	58162769	-	ENSG00000111012.5
METTL1	chr12	q	58162254	58166576	-	ENSG00000037897.12
METTL21B	chr12	q	58165275	58176324	+	ENSG00000123427.11
RP11-571M6.15	chr12	q	58166811	58180829	+	ENSG00000257921.1
TSFM	chr12	q	58176372	58201854	+	ENSG00000123297.12
AVIL	chr12	q	58191159	58212487	-	ENSG00000135407.6
CTDSP2	chr12	q	58213710	58240522	-	ENSG00000175215.5
XRCC6BP1	chr12	q	58335324	58351052	+	ENSG00000166896.3
RP11-362K2.2	chr12	q	58937907	59206842	+	ENSG00000258231.1
LRIG3	chr12	q	59265931	59314303	-	ENSG00000139263.7
RP11-272B17.2	chr12	q	59917059	59917965	-	ENSG00000257230.1
SLC16A7	chr12	q	59989848	60176395	+	ENSG00000118596.7
FAM19A2	chr12	q	62102040	62672931	-	ENSG00000198673.6
USP15	chr12	q	62654119	62811211	+	ENSG00000135655.9
MON2	chr12	q	62860597	62991363	+	ENSG00000061987.10
C12orf61	chr12	q	62995531	62997214	-	ENSG00000221949.2
PPM1H	chr12	q	63037762	63328817	-	ENSG00000111110.7
AVPR1A	chr12	q	63539014	63544722	-	ENSG00000166148.2
DPY19L2	chr12	q	63952693	64062719	-	ENSG00000177990.7
TMEM5	chr12	q	64173583	64203338	+	ENSG00000118600.7
SRGAP1	chr12	q	64238073	64541613	+	ENSG00000196935.4
C12orf66	chr12	q	64580096	64616076	-	ENSG00000174206.8
C12orf56	chr12	q	64660217	64784972	-	ENSG00000185306.8
XPOT	chr12	q	64798130	64844907	+	ENSG00000184575.7
TBK1	chr12	q	64845660	64895888	+	ENSG00000183735.5
RASSF3	chr12	q	65004293	65091347	+	ENSG00000153179.7
AC025262.1	chr12	q	65090189	65090329	-	ENSG00000268028.1
GNS	chr12	q	65107225	65153227	-	ENSG00000135677.6
TBC1D30	chr12	q	65174589	65274812	+	ENSG00000111490.8
WIF1	chr12	q	65444406	65515346	-	ENSG00000156076.5
LEMD3	chr12	q	65563351	65642107	+	ENSG00000174106.2
MSRB3	chr12	q	65672423	65882024	+	ENSG00000174099.6
HMGA2	chr12	q	66217911	66360075	+	ENSG00000149948.9
RP11-366L20.2	chr12	q	66245120	66275947	-	ENSG00000197301.3
AC090673.2	chr12	q	66291518	66317967	-	ENSG00000267942.1
LLPH	chr12	q	66516842	66524548	-	ENSG00000139233.2
TMBIM4	chr12	q	66517697	66563765	-	ENSG00000228144.2
TMBIM4	chr12	q	66517709	66563852	-	ENSG00000155957.12
IRAK3	chr12	q	66582659	66648402	+	ENSG00000090376.4
HELB	chr12	q	66696325	66737423	+	ENSG00000127311.5
GRIP1	chr12	q	66741211	67197966	-	ENSG00000155974.7
CAND1	chr12	q	67663061	67713731	+	ENSG00000111530.8
DYRK2	chr12	q	68042118	68059186	+	ENSG00000127334.10
IFNG	chr12	q	68548548	68553527	-	ENSG00000111537.4
IL26	chr12	q	68595131	68619601	-	ENSG00000111536.4
IL22	chr12	q	68642022	68647387	-	ENSG00000127318.6
MDM1	chr12	q	68666223	68726161	-	ENSG00000111554.10
RAP1B	chr12	q	69004619	69054372	+	ENSG00000127314.13
NUP107	chr12	q	69080514	69136785	+	ENSG00000111581.5
SLC35E3	chr12	q	69139886	69187508	+	ENSG00000175782.8
AC124890.1	chr12	q	69186125	69187743	+	ENSG00000251695.2
MDM2	chr12	q	69201956	69239214	+	ENSG00000135679.17
CPM	chr12	q	69235977	69365350	-	ENSG00000135678.7
CPSF6	chr12	q	69633317	69668138	+	ENSG00000111605.12
LYZ	chr12	q	69742121	69748014	+	ENSG00000090382.2
YEATS4	chr12	q	69753483	69784576	+	ENSG00000127337.2
FRS2	chr12	q	69864129	69973562	+	ENSG00000166225.4
CCT2	chr12	q	69979114	69995350	+	ENSG00000166226.8
LRRC10	chr12	q	70002351	70004942	-	ENSG00000198812.3
BEST3	chr12	q	70037140	70093256	-	ENSG00000127325.14
RAB3IP	chr12	q	70132461	70216984	+	ENSG00000127328.17
AC025263.3	chr12	q	70195449	70249143	+	ENSG00000258052.1
MYRFL	chr12	q	70219084	70352877	+	ENSG00000166268.6
CNOT2	chr12	q	70636774	70748773	+	ENSG00000111596.7
KCNMB4	chr12	q	70760056	70828072	+	ENSG00000135643.4
PTPRB	chr12	q	70910630	71031220	-	ENSG00000127329.10
PTPRR	chr12	q	71031853	71314623	-	ENSG00000153233.8
CTD-2021H9.3	chr12	q	71441182	71512027	-	ENSG00000258053.1
TSPAN8	chr12	q	71518865	71835678	-	ENSG00000127324.4
LGR5	chr12	q	71833550	71980090	+	ENSG00000139292.8
ZFC3H1	chr12	q	72003252	72061505	-	ENSG00000133858.11
THAP2	chr12	q	72056789	72074419	+	ENSG00000173451.2
RP11-293I14.2	chr12	q	72067984	72092748	+	ENSG00000258064.1
TMEM19	chr12	q	72079867	72097836	+	ENSG00000139291.9
RAB21	chr12	q	72148654	72184699	+	ENSG00000080371.4
TBC1D15	chr12	q	72233487	72320629	+	ENSG00000121749.11
TPH2	chr12	q	72332626	72580398	+	ENSG00000139287.8
TRHDE	chr12	q	72481046	73059422	+	ENSG00000072657.4
ATXN7L3B	chr12	q	74931551	74935223	+	ENSG00000253719.2
KCNC2	chr12	q	75433857	75603648	-	ENSG00000166006.8
CAPS2	chr12	q	75669759	75784708	-	ENSG00000180881.15
GLIPR1L1	chr12	q	75728419	75764340	+	ENSG00000173401.5
GLIPR1L2	chr12	q	75784850	75826468	+	ENSG00000180481.6
GLIPR1	chr12	q	75874460	75897633	+	ENSG00000139278.5
KRR1	chr12	q	75890684	75905416	-	ENSG00000111615.8
PHLDA1	chr12	q	76419227	76427712	-	ENSG00000139289.9
NAP1L1	chr12	q	76438670	76478813	-	ENSG00000187109.9
BBS10	chr12	q	76738254	76742222	-	ENSG00000179941.6
OSBPL8	chr12	q	76745577	76953589	-	ENSG00000091039.12
ZDHHC17	chr12	q	77157368	77247476	+	ENSG00000186908.10
CSRP2	chr12	q	77252495	77272840	-	ENSG00000175183.5
E2F7	chr12	q	77415027	77459360	-	ENSG00000165891.11
AC073528.1	chr12	q	77949297	77950568	-	ENSG00000268519.1
NAV3	chr12	q	78224685	78606790	+	ENSG00000067798.9
SYT1	chr12	q	79257773	79845788	+	ENSG00000067715.9
PAWR	chr12	q	79968759	80084877	-	ENSG00000177425.6
PPP1R12A	chr12	q	80167343	80329240	-	ENSG00000058272.11
AC073569.1	chr12	q	80198742	80202321	+	ENSG00000269531.1
OTOGL	chr12	q	80603233	80772870	+	ENSG00000165899.6
PTPRQ	chr12	q	80799774	81072802	+	ENSG00000139304.8
MYF6	chr12	q	81101277	81103253	+	ENSG00000111046.3
MYF5	chr12	q	81110691	81113452	+	ENSG00000111049.3
LIN7A	chr12	q	81186299	81331704	-	ENSG00000111052.3
ACSS3	chr12	q	81331594	81650533	+	ENSG00000111058.3
PPFIA2	chr12	q	81652045	82153332	-	ENSG00000139220.12
CCDC59	chr12	q	82617460	82752584	-	ENSG00000133773.7
METTL25	chr12	q	82752276	82873015	+	ENSG00000127720.3
TMTC2	chr12	q	83080659	83528649	+	ENSG00000179104.4
SLC6A15	chr12	q	85253492	85307394	-	ENSG00000072041.12
TSPAN19	chr12	q	85408094	85430055	-	ENSG00000231738.6
LRRIQ1	chr12	q	85430092	85657002	+	ENSG00000133640.14
ALX1	chr12	q	85673885	85695562	+	ENSG00000180318.3
RASSF9	chr12	q	86198331	86230348	-	ENSG00000198774.3
NTS	chr12	q	86268073	86276770	+	ENSG00000133636.6
MGAT4C	chr12	q	86372516	87232681	-	ENSG00000182050.9
C12orf50	chr12	q	88373816	88427814	-	ENSG00000165805.5
C12orf29	chr12	q	88427623	88443937	+	ENSG00000133641.13
CEP290	chr12	q	88442793	88535993	-	ENSG00000198707.10
TMTC3	chr12	q	88536073	88593664	+	ENSG00000139324.7
KITLG	chr12	q	88886570	88974628	-	ENSG00000049130.9
DUSP6	chr12	q	89741009	89747048	-	ENSG00000139318.7
POC1B	chr12	q	89813495	89919801	-	ENSG00000139323.9
GALNT4	chr12	q	89913185	89920039	-	ENSG00000257594.2
POC1B-GALNT4	chr12	q	89913185	89920039	-	ENSG00000259075.2
ATP2B1	chr12	q	89981828	90103077	-	ENSG00000070961.10
CCER1	chr12	q	91299399	91348953	-	ENSG00000197651.3
EPYC	chr12	q	91357456	91398803	-	ENSG00000083782.3
KERA	chr12	q	91444268	91451760	-	ENSG00000139330.5
LUM	chr12	q	91496406	91505608	-	ENSG00000139329.4
DCN	chr12	q	91539025	91576900	-	ENSG00000011465.12
C12orf79	chr12	q	92378756	92536690	-	ENSG00000257242.2
BTG1	chr12	q	92536286	92539673	-	ENSG00000133639.3
CLLU1OS	chr12	q	92813870	92821924	-	ENSG00000205057.3
CLLU1	chr12	q	92815307	92824778	+	ENSG00000257127.2
C12orf74	chr12	q	93096619	93102325	+	ENSG00000214215.3
PLEKHG7	chr12	q	93115281	93166231	+	ENSG00000187510.3
EEA1	chr12	q	93164413	93323107	-	ENSG00000102189.12
NUDT4	chr12	q	93771659	93797024	+	ENSG00000173598.9
UBE2N	chr12	q	93799449	93836038	-	ENSG00000177889.5
MRPL42	chr12	q	93861264	93897545	+	ENSG00000198015.8
SOCS2	chr12	q	93963590	93977263	+	ENSG00000120833.9
CRADD	chr12	q	94071151	94288616	+	ENSG00000169372.8
PLXNC1	chr12	q	94542499	94701451	+	ENSG00000136040.4
RP11-1105G2.3	chr12	q	94671534	94676620	-	ENSG00000258365.1
CCDC41	chr12	q	94700225	94853764	-	ENSG00000173588.10
TMCC3	chr12	q	94960900	95044338	-	ENSG00000057704.6
NDUFA12	chr12	q	95290831	95397546	-	ENSG00000184752.8
NR2C1	chr12	q	95414005	95467479	-	ENSG00000120798.12
FGD6	chr12	q	95470525	95611258	-	ENSG00000180263.9
VEZT	chr12	q	95611522	95696566	+	ENSG00000028203.13
RP11-167N24.6	chr12	q	95770984	95774672	-	ENSG00000258247.1
METAP2	chr12	q	95867296	95909615	+	ENSG00000111142.9
USP44	chr12	q	95910336	95945266	-	ENSG00000136014.7
NTN4	chr12	q	96051583	96184930	-	ENSG00000074527.7
RP11-536G4.1	chr12	q	96196875	96217085	+	ENSG00000258292.1
SNRPF	chr12	q	96252706	96297606	+	ENSG00000139343.6
CCDC38	chr12	q	96260826	96336752	-	ENSG00000165972.8
AMDHD1	chr12	q	96337071	96362370	+	ENSG00000139344.3
HAL	chr12	q	96366440	96390143	-	ENSG00000084110.6
LTA4H	chr12	q	96394606	96437298	-	ENSG00000111144.5
ELK3	chr12	q	96588160	96663613	+	ENSG00000111145.3
CDK17	chr12	q	96672039	96794338	-	ENSG00000059758.3
C12orf55	chr12	q	96883349	97269333	+	ENSG00000188596.5
NEDD1	chr12	q	97301001	97347129	+	ENSG00000139350.7
RP11-181C3.1	chr12	q	98879322	98897633	-	ENSG00000245017.2
TMPO	chr12	q	98909290	98944157	+	ENSG00000120802.9
SLC25A3	chr12	q	98987369	98995946	+	ENSG00000075415.8
IKBIP	chr12	q	99007183	99038891	-	ENSG00000166130.10
APAF1	chr12	q	99038919	99129204	+	ENSG00000120868.9
ANKS1B	chr12	q	99120235	100378432	-	ENSG00000185046.14
FAM71C	chr12	q	100041531	100043824	+	ENSG00000180219.1
UHRF1BP1L	chr12	q	100422233	100536626	-	ENSG00000111647.8
ACTR6	chr12	q	100592900	100635643	+	ENSG00000075089.5
DEPDC4	chr12	q	100597447	100660857	-	ENSG00000166153.12
SCYL2	chr12	q	100660918	100735502	+	ENSG00000136021.13
SLC17A8	chr12	q	100750857	100815837	+	ENSG00000179520.6
NR1H4	chr12	q	100867486	100958191	+	ENSG00000012504.9
GAS2L3	chr12	q	100967461	101022064	+	ENSG00000139354.6
ANO4	chr12	q	101111304	101522419	+	ENSG00000151572.12
SLC5A8	chr12	q	101549271	101604185	-	ENSG00000256870.2
UTP20	chr12	q	101673887	101780394	+	ENSG00000120800.4
ARL1	chr12	q	101786898	101801598	-	ENSG00000120805.9
SPIC	chr12	q	101869199	101880775	+	ENSG00000166211.6
MYBPC1	chr12	q	101962131	102079796	+	ENSG00000196091.8
CHPT1	chr12	q	102090725	102137918	+	ENSG00000111666.6
SYCP3	chr12	q	102122426	102133250	-	ENSG00000139351.10
GNPTAB	chr12	q	102139275	102224716	-	ENSG00000111670.10
DRAM1	chr12	q	102271129	102405908	+	ENSG00000136048.9
CCDC53	chr12	q	102406705	102455927	-	ENSG00000120860.6
NUP37	chr12	q	102467967	102513902	-	ENSG00000075188.4
PARPBP	chr12	q	102513956	102591298	+	ENSG00000185480.7
PMCH	chr12	q	102590237	102591623	-	ENSG00000183395.4
IGF1	chr12	q	102789645	102874423	-	ENSG00000017427.11
PAH	chr12	q	103230663	103352188	-	ENSG00000171759.4
ASCL1	chr12	q	103351464	103354294	+	ENSG00000139352.3
RP11-552I14.1	chr12	q	103545620	103562087	+	ENSG00000257860.1
C12orf42	chr12	q	103631369	103889749	-	ENSG00000179088.10
STAB2	chr12	q	103981051	104160505	+	ENSG00000136011.10
NT5DC3	chr12	q	104164231	104234975	-	ENSG00000111696.7
RP11-650K20.3	chr12	q	104235229	104238442	+	ENSG00000257327.1
HSP90B1	chr12	q	104323885	104347423	+	ENSG00000166598.8
C12orf73	chr12	q	104343980	104359486	-	ENSG00000204954.5
TDG	chr12	q	104359582	104382652	+	ENSG00000139372.10
GLT8D2	chr12	q	104382762	104457961	-	ENSG00000120820.8
HCFC2	chr12	q	104458235	104498639	+	ENSG00000111727.7
NFYB	chr12	q	104510855	104532067	-	ENSG00000120837.3
TXNRD1	chr12	q	104609557	104744061	+	ENSG00000198431.11
EID3	chr12	q	104697517	104698980	+	ENSG00000255150.1
CHST11	chr12	q	104849073	105155792	+	ENSG00000171310.6
SLC41A2	chr12	q	105196331	105352522	-	ENSG00000136052.5
C12orf45	chr12	q	105380088	105443515	+	ENSG00000151131.5
ALDH1L2	chr12	q	105413568	105478355	-	ENSG00000136010.9
KIAA1033	chr12	q	105501102	105562912	+	ENSG00000136051.9
APPL2	chr12	q	105567074	105630016	-	ENSG00000136044.7
C12orf75	chr12	q	105629068	105789875	+	ENSG00000235162.4
NUAK1	chr12	q	106457118	106533811	-	ENSG00000074590.9
CKAP4	chr12	q	106631655	106698057	-	ENSG00000136026.9
TCP11L2	chr12	q	106695707	106740793	+	ENSG00000166046.6
POLR3B	chr12	q	106751436	106903976	+	ENSG00000013503.5
RP11-144F15.1	chr12	q	106889736	107168696	-	ENSG00000257545.1
RFX4	chr12	q	106976685	107156581	+	ENSG00000111783.8
RIC8B	chr12	q	107168373	107283090	+	ENSG00000111785.14
C12orf23	chr12	q	107349497	107372556	+	ENSG00000151135.5
MTERFD3	chr12	q	107371069	107380944	-	ENSG00000120832.5
CRY1	chr12	q	107385142	107487607	-	ENSG00000008405.7
BTBD11	chr12	q	107712190	108053419	+	ENSG00000151136.10
PWP1	chr12	q	108079509	108106944	+	ENSG00000136045.7
PRDM4	chr12	q	108126643	108155049	-	ENSG00000110851.7
ASCL4	chr12	q	108168162	108170421	+	ENSG00000187855.5
